quadkey,shapeName,shapeISO,shapeID,shapeGroup,shapeType,pop_count,Predicted Relative Wealth Index,Predicted Wealth Category (quintile),Predicted Wealth Category (split-quintile),geometry
31011220211221,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,191.423736,0.8139159770920621,A,A,"POLYGON ((124.29931640625 -9.253936156814456, 124.29931640625 -9.232248799418686, 124.3212890625 -9.232248799418686, 124.3212890625 -9.253936156814456, 124.29931640625 -9.253936156814456))"
31011220211223,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,284.470809,0.22619529668199811,C,C,"POLYGON ((124.29931640625 -9.275622176792112, 124.29931640625 -9.253936156814456, 124.3212890625 -9.253936156814456, 124.3212890625 -9.275622176792112, 124.29931640625 -9.275622176792112))"
31011220213001,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,397.744579,-0.04438986239471581,C,C,"POLYGON ((124.29931640625 -9.297306856327593, 124.29931640625 -9.275622176792112, 124.3212890625 -9.275622176792112, 124.3212890625 -9.297306856327593, 124.29931640625 -9.297306856327593))"
31011220213003,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,231.701544,-0.0526280629955015,C,C,"POLYGON ((124.29931640625 -9.318990192397923, 124.29931640625 -9.297306856327593, 124.3212890625 -9.297306856327593, 124.3212890625 -9.318990192397923, 124.29931640625 -9.318990192397923))"
31011220213021,Oesilo,None,TLS-ADM2-3_0_0-B59,TLS,ADM2,154.608338,0.26665855506492664,C,B,"POLYGON ((124.29931640625 -9.340672181980946, 124.29931640625 -9.318990192397923, 124.3212890625 -9.318990192397923, 124.3212890625 -9.340672181980946, 124.29931640625 -9.340672181980946))"
31011220213023,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,648.833236,0.28876313536156356,C,B,"POLYGON ((124.29931640625 -9.362352822055612, 124.29931640625 -9.340672181980946, 124.3212890625 -9.340672181980946, 124.3212890625 -9.362352822055612, 124.29931640625 -9.362352822055612))"
31011220211210,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,3738.564666,1.421795194145437,A,A,"POLYGON ((124.3212890625 -9.210560107629682, 124.3212890625 -9.188870084473416, 124.34326171875 -9.188870084473416, 124.34326171875 -9.210560107629682, 124.3212890625 -9.210560107629682))"
31011220211212,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,1934.727987,1.1851170273857787,A,A,"POLYGON ((124.3212890625 -9.232248799418686, 124.3212890625 -9.210560107629682, 124.34326171875 -9.210560107629682, 124.34326171875 -9.232248799418686, 124.3212890625 -9.232248799418686))"
31011220211230,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,710.956066,1.172570195249102,A,A,"POLYGON ((124.3212890625 -9.253936156814456, 124.3212890625 -9.232248799418686, 124.34326171875 -9.232248799418686, 124.34326171875 -9.253936156814456, 124.3212890625 -9.253936156814456))"
31011220211232,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,646.183934,0.960741806432217,A,A,"POLYGON ((124.3212890625 -9.275622176792112, 124.3212890625 -9.253936156814456, 124.34326171875 -9.253936156814456, 124.34326171875 -9.275622176792112, 124.3212890625 -9.275622176792112))"
31011220213010,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,333.47446,0.5405863677735684,B,B,"POLYGON ((124.3212890625 -9.297306856327593, 124.3212890625 -9.275622176792112, 124.34326171875 -9.275622176792112, 124.34326171875 -9.297306856327593, 124.3212890625 -9.297306856327593))"
31011220213012,Oesilo,None,TLS-ADM2-3_0_0-B59,TLS,ADM2,471.688215,0.526183000098585,B,B,"POLYGON ((124.3212890625 -9.318990192397923, 124.3212890625 -9.297306856327593, 124.34326171875 -9.297306856327593, 124.34326171875 -9.318990192397923, 124.3212890625 -9.318990192397923))"
31011220213030,Oesilo,None,TLS-ADM2-3_0_0-B59,TLS,ADM2,447.531576,0.023714681843999844,C,C,"POLYGON ((124.3212890625 -9.340672181980946, 124.3212890625 -9.318990192397923, 124.34326171875 -9.318990192397923, 124.34326171875 -9.340672181980946, 124.3212890625 -9.340672181980946))"
31011220211211,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,5605.54176,1.2346074394135533,A,A,"POLYGON ((124.34326171875 -9.210560107629682, 124.34326171875 -9.188870084473416, 124.365234375 -9.188870084473416, 124.365234375 -9.210560107629682, 124.34326171875 -9.210560107629682))"
31011220211213,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,655.268934,1.2669498464814222,A,A,"POLYGON ((124.34326171875 -9.232248799418686, 124.34326171875 -9.210560107629682, 124.365234375 -9.210560107629682, 124.365234375 -9.232248799418686, 124.34326171875 -9.232248799418686))"
